WorkoutId,MaxTargets,MaxTriangles,MaxScore
1324,2020,694,,612
1329,584,325,,214
1339,1371,258,,352
1365,2263,479,,596
1397,1410,333,,382
1345,2369,729,,692
1347,1755,797,,590
1351,580,289,,203
1349,945,168,,239
1350,974,231,,264
1364,2842,635,,759
1357,1739,623,,535
1358,2841,579,,742
1346,3262,708,,865
1398,3227,509,,798
602,2223,637,,636
718,1130,455,,362
1375,896,398,,299
1374,1028,329,,304
1373,1356,213,,335
1291,2752,537,,712
1360,2422,447,,618
1343,1443,544,,452
1297,3320,729,,883
1412,2837,638,,759
1401,3291,603,,839
1377,1527,541,,468
1444,1350,248,,344
1417,442,176,,141
1459,1168,298,,323
1381,1785,681,,561
1382,5164,680,,1237
1411,1825,778,,598
1416,1194,502,,389
1378,1322,247,,338
1413,3802,467,,900
1380,602,282,,205
1393,2202,601,,621
1321,2695,724,,756
1344,2414,611,,666
1484,1664,455,,469
1395,3709,772,,973
1443,3677,600,,915
1469,2269,388,,570
1425,726,297,,234
1424,758,138,,193
1420,1602,564,,490
1423,1191,370,,349
1359,4057,900,,1081
1392,2435,746,,711
1449,4592,674,,1121
1399,1730,326,,444
1356,1342,306,,360
1483,2627,754,,752
1445,814,157,,210
1462,4343,1064,,1188
1485,1013,138,,244
1453,689,153,,184
1446,2879,98,,605
1419,1828,541,,528
1448,2197,479,,583
1376,3747,386,,865
1473,1012,228,,271
1415,1653,230,,400
1492,2214,498,,592
1474,939,558,,355
1475,8530,2029,,2315
1515,3544,646,,903
1491,1827,608,,548
1476,2420,683,,689
1479,3698,541,,902
1504,1282,262,,335
1379,944,350,,294
1477,1999,625,,587
1486,588,220,,184
1487,2655,714,,745
1489,3300,667,,860
1497,1573,484,,460
1498,3895,505,,930
1499,1070,493,,362
1503,730,183,,201
1502,948,251,,265
1500,2637,818,,773
1505,2947,888,,856
1510,1335,107,,299
1507,2326,959,,753
1506,3000,935,,880
1524,1811,321,,458
1513,3012,1222,,969
1511,1351,319,,366
1508,3354,604,,852
1470,1225,395,,364
1512,779,337,,257
1451,1783,1328,,755
1522,2894,364,,688
1523,2123,579,,598
1531,727,251,,221
1450,2136,524,,584
1525,2994,521,,755
1542,674,233,,205
1527,1037,160,,255
1526,1799,213,,424
1447,2712,732,,762
1533,5453,1121,,1427
1536,1787,595,,536
1538,3140,827,,876
1537,2908,775,,814
1541,1317,252,,339
1478,803,109,,193
1581,2373,1053,,790
1540,1282,274,,339
1568,2127,492,,573
1557,1874,696,,584
1558,2979,757,,823
1565,1150,292,,318
1559,3436,792,,925
1560,1867,650,,568
1545,1392,273,,360
1547,541,132,,148
1628,1956,878,,655
1569,4674,872,,1196
1585,2000,432,,530
1586,2636,929,,806
1587,2776,429,,684
1588,1369,618,,459
1572,1468,143,,336
1573,642,137,,170
1546,1416,325,,381
1590,3531,831,,956
902,1589,651,,513
1101,2620,847,,778
1092,1314,376,,376
1589,1880,393,,494
1592,1404,634,,471
1594,2560,469,,653
1418,2279,890,,723
1595,3494,594,,877
1596,1875,970,,666
1597,1491,349,,403
1604,523,317,,200
1603,953,379,,304
1543,2077,790,,652
1599,3176,810,,878
1631,1963,932,,672
1622,2794,889,,826
1623,2946,357,,696
1635,2050,732,,630
1626,962,219,,258
1625,1182,103,,267
1627,880,231,,245
1575,3035,893,,875
1633,3345,961,,957
1624,1882,531,,536
1646,2387,551,,643
1647,4418,877,,1147
1636,1629,427,,454
1649,1947,245,,463
1650,875,353,,281
1651,731,295,,235
1663,2487,760,,725
1664,2335,828,,715
1655,1117,269,,304
1656,2189,685,,643
1665,3459,890,,959
1673,1817,702,,574
1683,1278,219,,321
1684,965,161,,241
1666,1885,428,,505
1685,686,197,,196
1653,3338,695,,876
1659,1618,716,,538
1690,2690,492,,686
1660,3102,710,,833
1648,1895,746,,603
1712,869,238,,245
1713,1038,328,,306
1714,1308,168,,312
1733,1511,911,,576
1692,3721,611,,928
1689,1192,600,,418
1709,2692,718,,754
1717,2919,585,,759
1693,1726,936,,626
1732,6801,1708,,1873
1793,1247,1380,,663
1719,1597,75,,341
1729,3778,955,,1042
1722,2367,487,,619
1738,952,395,,308
1743,496,151,,144
1744,1214,328,,341
1745,1586,265,,396
1731,2576,710,,728
1796,2731,718,,761
1740,1471,855,,550
1668,1888,1073,,699
1697,3865,788,,1009
1800,1618,724,,540
1746,2978,911,,868
1809,3013,551,,767
1806,2283,589,,633
1825,1588,288,,404
1824,1043,206,,270
1823,667,356,,240
1808,3818,647,,957
1750,1857,522,,528
1792,1428,749,,510
1799,3465,726,,910
1724,1668,439,,465
1820,2702,585,,715
1826,5735,1714,,1661
1818,2073,464,,553
1821,1454,598,,470
1830,2632,1090,,853
1748,4202,812,,1084
1811,3725,806,,986
1831,1576,830,,564
1851,664,127,,170
1850,1577,432,,445
1833,1822,492,,512
1849,1179,245,,309
1853,3173,211,,697
1838,1688,943,,620
1832,2993,991,,895
1855,2573,576,,687
1857,2016,682,,607
1854,2551,498,,659
1906,3942,956,,1075
1868,569,67,,133
1869,3333,869,,927
1706,1989,1040,,709
1874,3357,623,,858
1872,1801,553,,526
1878,606,198,,180
1879,1648,470,,470
1880,844,324,,266
1875,1645,1011,,632
1881,2410,564,,651
1907,2265,1501,,903
1908,1744,469,,489
1910,2199,442,,572
1913,1411,267,,362
1929,3301,684,,865
1926,1651,900,,600
1847,3732,615,,930
1930,1667,550,,498
1935,1326,224,,332
1920,2669,333,,633
1934,542,70,,129
1933,1218,254,,319
1927,1613,856,,579
1936,1489,791,,535
1922,2259,548,,616
1942,0,1,,
1923,3045,692,,816
1950,4311,1885,,1427
1938,2731,6,,548
1871,1390,848,,532
1943,3351,524,,827
1973,1730,681,,550
1957,3019,572,,775
1946,1614,668,,523
1959,3585,615,,901
1976,2634,664,,726
1980,1685,950,,622
1983,5744,876,,1411
1988,3028,627,,793
1986,1871,599,,553
1995,2181,857,,693
1991,1656,619,,516
1985,1906,822,,627
1977,1367,235,,343
2010,3406,1012,,984
2008,2185,1094,,765
2007,1379,716,,490
2020,2094,552,,584
1998,2393,695,,687
1978,696,129,,177
1979,1443,454,,424
2022,1461,277,,375
2024,1275,475,,397
2023,631,196,,185
2028,6785,906,,1628
2025,2025,675,,607
2045,2966,846,,847
2035,1367,401,,393
2033,3035,834,,857
2051,3842,596,,947
2128,1820,723,,580
2030,2713,1540,,1004
2048,1462,745,,515
2031,2024,754,,631
2055,3361,711,,885
2067,1403,400,,400
2064,3635,602,,907
2096,3120,1607,,1106
2060,617,402,,244
2058,1319,165,,313
2053,2237,685,,652
2059,1383,407,,398
2077,1946,1004,,690
2095,4237,1459,,1285
2082,3624,711,,938
2109,1750,708,,562
2083,1723,472,,486
2080,6807,3469,,2402
2091,1080,305,,307
2085,1088,254,,293
2069,2541,596,,687
2090,726,119,,180
2061,2926,1049,,899
2088,3253,563,,819
2200,2194,631,,628
2092,1052,564,,379
2164,1531,398,,425
2104,1313,630,,451
2168,3963,704,,1003
2201,1763,1232,,722
2112,3600,655,,916
2101,2639,381,,642
2122,721,150,,189
2065,2769,1205,,915
2119,2330,978,,759
2170,1353,93,,298
2094,1736,841,,599
2175,1563,711,,525
2167,1576,294,,403
2071,2318,616,,648
2050,1582,381,,430
2203,3323,719,,880
2171,3104,1139,,962
2098,5061,959,,1299
2174,1426,1293,,673
2189,2202,839,,692
2183,1437,470,,428
2190,1777,728,,573
2195,2857,882,,836
2214,3004,948,,885
2184,3187,942,,920
2188,606,339,,222
2196,4621,1109,,1256
2194,677,335,,235
2182,1245,300,,339
2215,3983,910,,1069
2218,1441,810,,531
1715,2790,789,,794
2243,4766,810,,1196
2221,7976,1518,,2050
2114,2090,951,,703
2250,1165,656,,429
2242,2527,733,,725
2255,2873,686,,780
2277,2678,869,,796
2241,1271,476,,397
2251,1481,285,,381
2273,3807,811,,1004
2252,859,303,,262
2257,1598,573,,491
2158,575,426,,242
2263,2816,1327,,961
2236,1458,804,,532
2261,4064,771,,1044
2253,3011,1062,,920
2320,3413,664,,881
2269,2209,606,,623
2275,2239,58,,465
2321,2975,835,,845
2283,907,142,,224
2279,5185,993,,1334
2271,1616,420,,449
2281,1232,423,,373
2282,768,506,,305
2287,2932,603,,767
2289,1548,533,,469
2285,2299,595,,638
2099,2327,726,,683
2295,1457,484,,436
2239,3303,390,,777
2363,2905,670,,782
2303,1425,358,,392
2305,1793,332,,458
2259,3745,59,,766
2301,677,186,,191
2318,904,483,,325
2317,1382,130,,315
2291,3268,441,,785
2313,1371,408,,396
2314,2043,725,,626
2339,2123,683,,629
2337,3493,765,,928
2341,1995,859,,656
2325,2884,675,,779
2350,2176,858,,692
2362,997,359,,307
2360,2137,464,,566
2327,978,457,,332
2382,3089,1217,,982
2353,1703,1075,,663
2361,923,3,,185
2356,1807,820,,607
2328,3282,523,,813
2402,2660,659,,729
2398,2801,734,,780
2373,1482,749,,521
2369,2921,626,,772
2343,3121,835,,874
2429,1362,629,,461
2372,2198,356,,546
2322,2270,744,,677
2367,1669,556,,500
2383,2156,661,,629
2380,3022,614,,788
2386,3915,1215,,1147
2388,1566,875,,575
2392,1376,321,,371
2394,406,276,,164
2393,1113,373,,334
2396,3103,1113,,954
2366,4767,604,,1134
2400,1904,754,,607
2425,2056,1549,,875
2411,2590,792,,755
2413,1996,928,,677
2432,1617,443,,456
2421,3791,1053,,1074
2427,3233,703,,857
2389,2219,574,,616
2491,838,281,,251
2419,2164,535,,593
2490,680,361,,244
2423,1294,888,,525
2493,2661,791,,769
2489,1407,384,,396
2499,1573,575,,487
2497,1706,360,,449
2496,3501,809,,942
2506,2588,647,,711
2519,2322,984,,759
2508,1920,683,,588
2449,2480,850,,751
2543,693,230,,207
1075,1900,901,0,650
2495,2294,922,0,735
2500,3027,612,0,789
2504,1845,578,0,542
2503,3515,629,0,891
2510,1258,386,0,367
2511,635,968,0,417
2512,544,252,0,184
2515,3545,515,0,863
2535,1769,1048,0,668
2517,1534,1010,0,609
2352,2574,567,0,684
2522,1085,303,0,307
2532,1818,613,0,547
2538,2965,975,0,885
2537,0,1,0,
2531,0,1,0,
2542,1064,390,0,329
2541,1217,202,0,304
2547,0,1,0,
2545,0,1,0,
2548,0,1,0,
2551,0,1,0,
2554,0,1,0,
2588,2308,653,0,657
2408,463,217,71,164
2409,695,240,101,221
2410,941,112,102,232
2521,2595,561,152,702
2529,1785,496,229,528
