SN ID,SN ID (from Songs),SN ID (from Locations)
2109,2805,59
2109,901,92
2109,1513,8
2109,634,67
2157,2847,74
2157,2849,95
2157,2848,141
2157,1703,60
2076,2509,135
2076,2508,46
2075,2553,29
2075,2131,11
2074,1384,48
2074,1185,104
2095,336,53
2095,1138,123
2095,1091,115
2095,2851,32
2095,1092,101
2095,490,66
2133,2792,70
2133,1580,141
2133,2504,97
2155,1224,77
2077,2783,45
2077,2784,95
2077,2558,140
2077,2785,41
2077,2786,18
2115,2579,105
2115,427,37
2115,2803,156
2063,2294,6
2063,2532,2
2063,2734,116
2063,2001,100
2064,2740,54
2064,2741,3
2064,2742,40
2064,2263,135
2064,2743,89
2067,770,75
2067,2666,106
2067,2738,93
2067,2739,80
2067,1658,155
2068,2728,34
2068,2695,61
2068,2125,64
2068,2534,60
2073,1046,58
2073,2267,111
2073,2511,78
2073,353,27
2096,2852,104
2096,759,50
2096,2829,98
2096,2833,72
2096,2757,44
2096,2828,138
2060,1235,27
2060,1746,61
2058,858,136
2058,2390,123
2059,2235,155
2059,2019,124
2055,2773,56
2055,2774,135
2055,2775,112
2055,870,65
2055,2333,11
2057,2114,113
2057,2243,78
2057,414,35
2057,2476,86
2046,2707,139
2046,2713,54
2046,1984,20
2046,2712,32
2053,2723,84
2053,341,89
2053,2724,60
2053,419,42
2053,390,67
2130,1207,58
2031,2699,61
2031,1705,106
2031,2301,5
2031,2697,93
2031,2695,18
2031,2696,73
2054,2769,116
2054,2767,107
2054,2772,35
2051,2719,100
2051,2721,124
2051,2151,8
2051,2720,92
2051,2400,139
2049,2704,111
2049,2705,58
2049,2706,34
2049,1421,95
2079,2782,55
2079,2780,50
2079,2781,70
2079,2331,118
2048,924,52
2048,2727,45
2048,1450,33
2048,1146,64
2048,1147,66
2048,211,101
2030,2788,53
2030,2790,115
2030,2789,135
2030,1469,94
2030,2787,98
2093,2660,11
2093,1964,1
2093,1686,138
2037,2430,56
2037,346,61
2038,1818,117
2038,2328,71
2036,2087,105
2036,2406,6
2128,2217,127
2128,1514,92
2128,1816,59
2128,2337,77
2128,2425,136
2044,2680,78
2044,2684,34
2044,2685,40
2044,2686,82
2123,74,50
2033,2703,56
2033,2701,84
2033,2373,106
2033,2702,87
2033,2347,79
2032,2708,93
2032,2710,47
2032,2711,89
2032,1126,111
2035,1797,108
2035,315,20
2035,1889,69
2035,2687,107
2035,2139,37
2034,2688,58
2034,2689,48
2034,2194,55
2034,518,53
2047,2735,127
2047,2736,142
2047,2737,29
2045,2761,62
2045,2763,90
2045,2453,141
2045,2758,68
2045,2762,2
2045,2757,146
